                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.96859,                 1.3643,                  1.022,                0.82268,                0.71939,                0.57362,                0.64143,                0.50223,                0.67341,                0.54105,                0.58172,                0.32131,                0.93411,                 1.3333,                0.79252,                0.80963,             0.00032873,             0.00032873,             0.00032873
                     82,                 0.9753,                 1.3177,                 1.0205,                0.81401,                0.72421,                 0.5744,                0.65762,                0.50658,                0.66252,                0.54018,                0.59716,                0.33298,                0.94654,                 1.3431,                0.80554,                0.81132,             0.00032837,             0.00032837,             0.00032837
                     83,                0.96742,                 1.3374,                0.95477,                0.82195,                0.72093,                0.55406,                0.65274,                0.50531,                0.66457,                0.51916,                0.58733,                0.31906,                0.93116,                  1.359,                0.83655,                0.81071,             0.00032802,             0.00032802,             0.00032802
                     84,                0.96414,                 1.3044,                0.91891,                0.81684,                0.72041,                0.59093,                0.67388,                0.51335,                0.66502,                0.54187,                 0.5898,                0.31576,                0.98103,                 1.3833,                0.78959,                0.81368,             0.00032767,             0.00032767,             0.00032767
                     85,                0.95287,                 1.2943,                 1.0055,                0.81581,                0.74466,                 0.5866,                0.65329,                0.50226,                0.66893,                 0.5462,                0.58141,                0.31463,                 0.9491,                 1.3605,                0.78824,                0.81018,             0.00032731,             0.00032731,             0.00032731
                     86,                0.93068,                 1.2584,                0.93001,                0.81257,                0.79918,                0.55692,                0.64427,                0.50019,                0.74621,                0.52588,                0.57921,                0.31426,                0.93384,                 1.3654,                0.81052,                0.80988,             0.00032696,             0.00032696,             0.00032696
                     87,                0.94149,                 1.2939,                0.92409,                 0.8108,                0.69551,                0.61842,                0.67001,                0.51596,                0.62326,                0.56908,                0.59066,                0.31798,                0.95118,                 1.3965,                0.76704,                0.81107,             0.00032661,             0.00032661,             0.00032661
                     88,                0.99411,                 1.3893,                0.96008,                0.82179,                 0.7908,                0.57886,                 0.6688,                0.51829,                0.73818,                  0.543,                0.59266,                0.32838,                0.94495,                 1.3322,                0.74367,                0.80995,             0.00032625,             0.00032625,             0.00032625
                     89,                0.90488,                 1.2496,                0.87715,                 0.8145,                0.70506,                0.62068,                0.69765,                0.53481,                0.69221,                0.56872,                0.60767,                0.32421,                0.96887,                 1.3902,                0.74659,                 0.8113,              0.0003259,              0.0003259,              0.0003259
                     90,                 0.9321,                 1.2746,                0.89633,                0.81719,                0.71488,                0.60917,                0.68545,                0.52883,                 0.6519,                0.56302,                0.60906,                0.32783,                0.92071,                 1.3087,                0.72867,                0.80821,             0.00032554,             0.00032554,             0.00032554
                     91,                0.95298,                 1.2885,                0.94864,                0.81183,                0.83124,                0.61512,                0.70916,                0.55262,                0.77882,                0.57504,                 0.6309,                 0.3403,                0.91952,                 1.3188,                0.72108,                0.80826,             0.00032519,             0.00032519,             0.00032519
                     92,                0.96632,                 1.3309,                0.90289,                0.81866,                0.76874,                0.62348,                0.69698,                0.53423,                 0.7167,                0.58424,                0.62201,                0.33912,                0.96378,                 1.3572,                 0.8003,                0.81087,             0.00032484,             0.00032484,             0.00032484
                     93,                0.94911,                 1.2959,                 0.8934,                0.81916,                0.70552,                0.62994,                0.68546,                0.52502,                0.63085,                0.57096,                0.59102,                0.31318,                0.98111,                 1.3886,                0.74828,                0.81078,             0.00032448,             0.00032448,             0.00032448
