                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.5942,                  1.016,                0.91839,                 0.6587,                0.68746,                 0.6951,                0.35058,                 1.6014,                0.82673,                 0.9427,             0.00031636,             0.00031636,             0.00031636
                    117,                 1.6326,                 1.0365,                0.91216,                0.67737,                0.69646,                0.70364,                0.35097,                  1.624,                0.87285,                0.94415,               0.000316,               0.000316,               0.000316
                    118,                 1.6069,                 1.0394,                 0.9097,                0.66697,                0.67512,                0.69222,                0.34847,                 1.6131,                0.85529,                0.94764,             0.00031565,             0.00031565,             0.00031565
                    119,                 1.6154,                  1.021,                0.91128,                0.68826,                0.68531,                0.71729,                0.35438,                 1.6273,                0.84263,                0.94644,              0.0003153,              0.0003153,              0.0003153
                    120,                 1.6364,                 1.0652,                0.91771,                0.73166,                0.69145,                0.74088,                0.37044,                 1.6171,                0.85724,                0.94338,             0.00031494,             0.00031494,             0.00031494
                    121,                 1.5988,                 1.0133,                0.91257,                0.72204,                0.70952,                 0.7465,                0.37276,                 1.6146,                0.81341,                0.94607,             0.00031459,             0.00031459,             0.00031459
                    122,                 1.5923,                0.98222,                0.91709,                0.67833,                0.71049,                0.73024,                0.36603,                 1.6268,                0.86491,                0.94638,             0.00031423,             0.00031423,             0.00031423
                    123,                 1.6481,                 1.0111,                0.92109,                0.69487,                0.65896,                0.69879,                0.35071,                  1.613,                0.85637,                0.94134,             0.00031388,             0.00031388,             0.00031388
                    124,                 1.6055,                 1.0301,                0.92326,                0.70781,                0.69611,                0.72264,                0.36174,                 1.6409,                 0.8469,                0.95232,             0.00031353,             0.00031353,             0.00031353
                    125,                 1.6247,                0.97612,                0.91788,                0.74132,                 0.6977,                0.76055,                0.38408,                  1.613,                0.80182,                0.95109,             0.00031317,             0.00031317,             0.00031317
                    126,                 1.6275,                 1.0005,                0.91828,                0.75566,                0.74287,                0.76798,                0.37742,                 1.6314,                0.80359,                0.94792,             0.00031282,             0.00031282,             0.00031282
                    127,                 1.5647,                0.94749,                0.91623,                0.71084,                0.72281,                0.75929,                0.38019,                 1.6138,                0.81441,                0.94473,             0.00031247,             0.00031247,             0.00031247
                    128,                 1.5945,                0.97132,                 0.9129,                0.70982,                0.70426,                0.73846,                0.36814,                 1.6178,                0.80843,                0.94815,             0.00031211,             0.00031211,             0.00031211
                    129,                 1.6075,                0.98397,                0.92895,                0.68539,                0.71656,                 0.7184,                0.35854,                 1.6151,                0.86608,                0.94582,             0.00031176,             0.00031176,             0.00031176
                    130,                 1.5882,                0.96335,                0.91129,                0.66412,                0.67693,                0.70681,                0.35139,                 1.6116,                0.89499,                0.94125,             0.00031141,             0.00031141,             0.00031141
                    131,                 1.6293,                0.99976,                0.92426,                 0.6702,                0.65427,                0.69451,                0.34296,                 1.6154,                0.87869,                0.93801,             0.00031105,             0.00031105,             0.00031105
                    132,                 1.6121,                0.99242,                0.92235,                 0.7013,                0.65908,                0.69097,                0.33802,                 1.6217,                0.90239,                0.93952,              0.0003107,              0.0003107,              0.0003107
                    133,                 1.6562,                 1.0078,                0.91642,                0.69647,                0.66559,                0.68329,                0.34161,                 1.6191,                0.86109,                0.94565,             0.00031035,             0.00031035,             0.00031035
