                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.94149,                0.45603,                0.79887,                0.99125,                0.97961,                0.99217,                 0.7852,                 0.9611,                0.43566,                0.80129,              0.0014772,              0.0014772,              0.0014772
                    117,                0.93197,                0.44457,                0.80269,                0.99259,                0.97765,                0.99268,                0.77343,                 1.1061,                0.47245,                0.81098,              0.0014756,              0.0014756,              0.0014756
                    118,                0.93497,                0.45072,                0.80259,                0.98959,                0.98406,                0.99221,                0.74777,                 1.1974,                0.49584,                0.81471,              0.0014739,              0.0014739,              0.0014739
                    119,                 1.0192,                0.47574,                 0.8081,                0.98433,                0.96729,                0.99129,                0.77906,                0.99931,                0.46177,                0.80295,              0.0014723,              0.0014723,              0.0014723
                    120,                0.98566,                 0.4696,                0.80303,                0.98895,                0.98144,                0.99053,                0.73543,                 1.1558,                0.50707,                0.81627,              0.0014706,              0.0014706,              0.0014706
                    121,                0.96624,                0.45233,                 0.7998,                0.99027,                0.98066,                0.99246,                0.77634,                0.97636,                0.45429,                 0.8021,               0.001469,               0.001469,               0.001469
                    122,                0.95396,                0.46024,                0.79758,                0.98846,                0.97808,                0.99155,                0.74763,                 1.1282,                0.49146,                0.81198,              0.0014673,              0.0014673,              0.0014673
                    123,                0.94295,                0.45884,                0.79997,                  0.987,                0.98054,                0.99162,                 0.7647,                 1.0682,                0.46171,                0.80787,              0.0014657,              0.0014657,              0.0014657
                    124,                0.90729,                0.44151,                0.79765,                0.99133,                0.97937,                0.99266,                0.78883,                0.98027,                0.44749,                0.80028,               0.001464,               0.001464,               0.001464
                    125,                0.93223,                0.44823,                0.80196,                0.98972,                0.97791,                0.99238,                0.76585,                 1.0567,                 0.4915,                0.80723,              0.0014624,              0.0014624,              0.0014624
                    126,                0.93985,                0.45792,                 0.7997,                0.98995,                0.98144,                0.99246,                0.77291,                 1.0674,                0.46718,                0.80793,              0.0014607,              0.0014607,              0.0014607
                    127,                0.93525,                0.44791,                0.80031,                0.99176,                0.97942,                0.99191,                0.79186,                0.95887,                0.44706,                0.80198,              0.0014591,              0.0014591,              0.0014591
                    128,                0.94001,                0.44438,                0.79926,                0.99172,                0.98014,                0.99279,                0.76684,                 1.0863,                0.46953,                0.81104,              0.0014574,              0.0014574,              0.0014574
                    129,                0.92434,                0.44134,                0.79863,                0.97872,                0.97212,                0.98922,                0.74392,                 1.1698,                0.54286,                 0.8126,              0.0014558,              0.0014558,              0.0014558
                    130,                 0.9053,                0.43776,                0.79379,                0.98803,                0.97986,                0.99151,                0.76885,                 1.0372,                0.47329,                 0.8062,              0.0014541,              0.0014541,              0.0014541
                    131,                0.93107,                0.43892,                0.79912,                 0.9906,                0.98174,                0.99188,                0.75154,                 1.1022,                0.47178,                 0.8104,              0.0014525,              0.0014525,              0.0014525
                    132,                0.95798,                0.44664,                 0.8041,                0.98274,                0.97858,                0.98927,                0.74574,                  1.158,                0.50508,                0.81498,              0.0014508,              0.0014508,              0.0014508
                    133,                 0.9434,                0.44557,                 0.8024,                0.98544,                0.97883,                0.98849,                0.76865,                 1.0487,                0.48373,                0.80905,              0.0014492,              0.0014492,              0.0014492
